tipo_despesa,divisoes_cnae,nota
Água,00 11 36 37 38 39 46 47 55 56 62 63 70 73 74 77 78 82 84 94,"Concessionaria (36, 37) e agua mineral engarrafada, que e fabricacao de bebida (11) vendida no atacado ou varejo (46, 47)."
Energia elétrica,00 27 28 33 35 36 43 46 47 62 63 70 73 74 77 78 82 84 94,"Distribuidora e comercializadora (35), instalacao eletrica (43), material eletrico (27, 46, 47)."
Despesa com geradores de energia,00 19 27 28 33 35 43 45 46 47 62 63 70 73 74 77 78 82 84 94 95,"Aluguel de maquina (77), fabricacao e manutencao de gerador (27, 28, 33), instalacao (43), combustivel do gerador (19, 46, 47)."
Telefone,00 26 27 46 47 61 62 63 70 73 74 77 78 82 84 94 95,"Operadora (61), aparelho e revenda (26, 46, 47), VoIP e plataforma de mensagem (62, 63), assistencia tecnica (95)."
Correspondências e despesas postais,00 18 46 47 49 52 53 61 62 63 70 73 74 77 78 82 84 94,"Correio e entrega (53), motoboy e transporte (49), logistica e apoio (52), grafica de envelope e mala direta (18)."
Materiais de expediente,00 13 17 18 20 22 25 26 32 46 47 58 62 63 70 73 74 77 78 82 84 94,"Papelaria (47), distribuidor (46), papel (17), grafica (18), plastico (22), informatica e suprimento (26)."
Locação/cessão de bens imóveis,00 41 46 47 55 62 63 64 68 70 73 74 77 78 81 82 84 85 90 93 94,"Imobiliaria e locacao (68), construtora que aluga (41), salao de associacao, escola, clube ou espaco de evento (94, 85, 93, 90), condominio e zeladori"
Locação/cessão de bens móveis (exceto veículos),00 26 27 28 32 33 43 46 47 58 59 60 61 62 63 70 73 74 77 78 82 84 90 93 94 95,"Aluguel de maquina e equipamento (77), som, luz e palco (90, 93, 59), informatica e eletronico (26, 62), montagem e manutencao (33, 43, 95)."
Pré-instalação física de comitê de campanha,00 16 22 23 25 26 27 28 31 32 33 41 42 43 46 47 62 63 68 70 71 73 74 77 78 80 81 82 84 94 95,"Obra e reforma (41, 42, 43), material de construcao (23, 25, 16, 46, 47), movel (31), rede e eletrica (27, 26, 62), limpeza e seguranca (81, 80)."
Eventos de promoção da candidatura,00 10 11 32 46 47 49 55 56 58 59 60 62 63 68 70 73 74 77 78 79 80 81 82 84 85 90 91 92 93 94 96,"Organizacao de feira e evento fica em 82; o resto do dia de evento e som e palco (90, 93), buffet (56), espaco (68, 94), transporte (49), seguranca (8"
Comícios,00 10 11 32 46 47 49 55 56 58 59 60 62 63 68 70 73 74 77 78 79 80 81 82 84 85 90 91 92 93 94 96,"Mesma logica de evento, com palco, som, estrutura, alimentacao e seguranca."
Pesquisas ou testes eleitorais,00 46 47 62 63 70 71 72 73 74 77 78 82 84 85 94,"Pesquisa de mercado e opiniao publica fica na divisao 73; instituto academico e fundacao caem em 72, 85 e 94; call center em 82."
Serviços advocatícios,00 46 47 62 63 69 70 73 74 78 82 84 94,Atividade juridica fica em 69; escritorio que se cadastra como consultoria cai em 70.
Serviços contábeis,00 46 47 62 63 64 66 69 70 73 74 78 82 84 94,"Contabilidade e auditoria ficam em 69, junto com 70 de consultoria e 66 de assessoria financeira."
"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito",00 46 47 62 63 64 65 66 69 70 73 74 77 78 82 84 94,"Banco (64), seguro (65), adquirente, maquininha e fintech (66, 62, 63)."
Taxa de Administração de Financiamento Coletivo,00 46 47 62 63 64 65 66 70 73 74 77 78 82 84 94,"Plataforma de vaquinha se cadastra ora como servico de informacao (63), ora como TI (62), ora como auxiliar financeiro (66)."
"Segurança e prevenção, repressão e combate à violência política",00 25 26 27 28 32 33 43 46 47 62 63 69 70 73 74 77 78 80 82 84 86 94 95,"Rubrica nova de 2024 e 2026. Vigilancia e seguranca patrimonial (80), camera e alarme (26, 27, 43), ciberseguranca (62, 63), juridico (69), atendiment"
__curinga__,00 46 47 62 63 70 73 74 77 78 82 84 94,"divisoes que nunca disparam: comercio, servico de escritorio, publicidade, holding, aluguel"
